Unnamed: 0,survived,pclass,sex,age,sibsp,parch,fare,embark_town,alone
0,0,3,1,22,1,0,7,2,0
1,1,1,0,38,1,0,71,0,0
2,1,3,0,26,0,0,7,2,1
3,1,1,0,35,1,0,53,2,0
4,0,3,1,35,0,0,8,2,1
5,0,3,1,28,0,0,8,1,1
6,0,1,1,54,0,0,51,2,1
7,0,3,1,2,3,1,21,2,0
8,1,3,0,27,0,2,11,2,0
9,1,2,0,14,1,0,30,0,0
10,1,3,0,4,1,1,16,2,0
11,1,1,0,58,0,0,26,2,1
12,0,3,1,20,0,0,8,2,1
13,0,3,1,39,1,5,31,2,0
14,0,3,0,14,0,0,7,2,1
15,1,2,0,55,0,0,16,2,1
16,0,3,1,2,4,1,29,1,0
17,1,2,1,28,0,0,13,2,1
18,0,3,0,31,1,0,18,2,0
19,1,3,0,28,0,0,7,0,1
20,0,2,1,35,0,0,26,2,1
21,1,2,1,34,0,0,13,2,1
22,1,3,0,15,0,0,8,1,1
23,1,1,1,28,0,0,35,2,1
24,0,3,0,8,3,1,21,2,0
25,1,3,0,38,1,5,31,2,0
26,0,3,1,28,0,0,7,0,1
27,0,1,1,19,3,2,263,2,0
28,1,3,0,28,0,0,7,1,1
29,0,3,1,28,0,0,7,2,1
30,0,1,1,40,0,0,27,0,1
31,1,1,0,28,1,0,146,0,0
32,1,3,0,28,0,0,7,1,1
33,0,2,1,66,0,0,10,2,1
34,0,1,1,28,1,0,82,0,0
35,0,1,1,42,1,0,52,2,0
36,1,3,1,28,0,0,7,0,1
37,0,3,1,21,0,0,8,2,1
38,0,3,0,18,2,0,18,2,0
39,1,3,0,14,1,0,11,0,0
40,0,3,0,40,1,0,9,2,0
41,0,2,0,27,1,0,21,2,0
42,0,3,1,28,0,0,7,0,1
43,1,2,0,3,1,2,41,0,0
44,1,3,0,19,0,0,7,1,1
45,0,3,1,28,0,0,8,2,1
46,0,3,1,28,1,0,15,1,0
47,1,3,0,28,0,0,7,1,1
48,0,3,1,28,2,0,21,0,0
49,0,3,0,18,1,0,17,2,0
50,0,3,1,7,4,1,39,2,0
51,0,3,1,21,0,0,7,2,1
52,1,1,0,49,1,0,76,0,0
53,1,2,0,29,1,0,26,2,0
54,0,1,1,65,0,1,61,0,0
55,1,1,1,28,0,0,35,2,1
56,1,2,0,21,0,0,10,2,1
57,0,3,1,28,0,0,7,0,1
58,1,2,0,5,1,2,27,2,0
59,0,3,1,11,5,2,46,2,0
60,0,3,1,22,0,0,7,0,1
61,1,1,0,38,0,0,80,2,1
62,0,1,1,45,1,0,83,2,0
63,0,3,1,4,3,2,27,2,0
64,0,1,1,28,0,0,27,0,1
65,1,3,1,28,1,1,15,0,0
66,1,2,0,29,0,0,10,2,1
67,0,3,1,19,0,0,8,2,1
68,1,3,0,17,4,2,7,2,0
69,0,3,1,26,2,0,8,2,0
70,0,2,1,32,0,0,10,2,1
71,0,3,0,16,5,2,46,2,0
72,0,2,1,21,0,0,73,2,1
73,0,3,1,26,1,0,14,0,0
74,1,3,1,32,0,0,56,2,1
75,0,3,1,25,0,0,7,2,1
76,0,3,1,28,0,0,7,2,1
77,0,3,1,28,0,0,8,2,1
78,1,2,1,0,0,2,29,2,0
79,1,3,0,30,0,0,12,2,1
80,0,3,1,22,0,0,9,2,1
81,1,3,1,29,0,0,9,2,1
82,1,3,0,28,0,0,7,1,1
83,0,1,1,28,0,0,47,2,1
84,1,2,0,17,0,0,10,2,1
85,1,3,0,33,3,0,15,2,0
86,0,3,1,16,1,3,34,2,0
87,0,3,1,28,0,0,8,2,1
88,1,1,0,23,3,2,263,2,0
89,0,3,1,24,0,0,8,2,1
90,0,3,1,29,0,0,8,2,1
91,0,3,1,20,0,0,7,2,1
92,0,1,1,46,1,0,61,2,0
93,0,3,1,26,1,2,20,2,0
94,0,3,1,59,0,0,7,2,1
95,0,3,1,28,0,0,8,2,1
96,0,1,1,71,0,0,34,0,1
97,1,1,1,23,0,1,63,0,0
98,1,2,0,34,0,1,23,2,0
99,0,2,1,34,1,0,26,2,0
100,0,3,0,28,0,0,7,2,1
101,0,3,1,28,0,0,7,2,1
102,0,1,1,21,0,1,77,2,0
103,0,3,1,33,0,0,8,2,1
104,0,3,1,37,2,0,7,2,0
105,0,3,1,28,0,0,7,2,1
106,1,3,0,21,0,0,7,2,1
107,1,3,1,28,0,0,7,2,1
108,0,3,1,38,0,0,7,2,1
109,1,3,0,28,1,0,24,1,0
110,0,1,1,47,0,0,52,2,1
111,0,3,0,14,1,0,14,0,0
112,0,3,1,22,0,0,8,2,1
113,0,3,0,20,1,0,9,2,0
114,0,3,0,17,0,0,14,0,1
115,0,3,1,21,0,0,7,2,1
116,0,3,1,70,0,0,7,1,1
117,0,2,1,29,1,0,21,2,0
118,0,1,1,24,0,1,247,0,0
119,0,3,0,2,4,2,31,2,0
120,0,2,1,21,2,0,73,2,0
121,0,3,1,28,0,0,8,2,1
122,0,2,1,32,1,0,30,0,0
123,1,2,0,32,0,0,13,2,1
124,0,1,1,54,0,1,77,2,0
125,1,3,1,12,1,0,11,0,0
126,0,3,1,28,0,0,7,1,1
127,1,3,1,24,0,0,7,2,1
128,1,3,0,28,1,1,22,0,0
129,0,3,1,45,0,0,6,2,1
130,0,3,1,33,0,0,7,0,1
131,0,3,1,20,0,0,7,2,1
132,0,3,0,47,1,0,14,2,0
133,1,2,0,29,1,0,26,2,0
134,0,2,1,25,0,0,13,2,1
135,0,2,1,23,0,0,15,0,1
136,1,1,0,19,0,2,26,2,0
137,0,1,1,37,1,0,53,2,0
138,0,3,1,16,0,0,9,2,1
139,0,1,1,24,0,0,79,0,1
140,0,3,0,28,0,2,15,0,0
141,1,3,0,22,0,0,7,2,1
142,1,3,0,24,1,0,15,2,0
143,0,3,1,19,0,0,6,1,1
144,0,2,1,18,0,0,11,2,1
145,0,2,1,19,1,1,36,2,0
146,1,3,1,27,0,0,7,2,1
147,0,3,0,9,2,2,34,2,0
148,0,2,1,36,0,2,26,2,0
149,0,2,1,42,0,0,13,2,1
150,0,2,1,51,0,0,12,2,1
151,1,1,0,22,1,0,66,2,0
152,0,3,1,55,0,0,8,2,1
153,0,3,1,40,0,2,14,2,0
154,0,3,1,28,0,0,7,2,1
155,0,1,1,51,0,1,61,0,0
156,1,3,0,16,0,0,7,1,1
157,0,3,1,30,0,0,8,2,1
158,0,3,1,28,0,0,8,2,1
159,0,3,1,28,8,2,69,2,0
160,0,3,1,44,0,1,16,2,0
161,1,2,0,40,0,0,15,2,1
162,0,3,1,26,0,0,7,2,1
163,0,3,1,17,0,0,8,2,1
164,0,3,1,1,4,1,39,2,0
165,1,3,1,9,0,2,20,2,0
166,1,1,0,28,0,1,55,2,0
167,0,3,0,45,1,4,27,2,0
168,0,1,1,28,0,0,25,2,1
