Area_sqft,Bedrooms,Bathrooms,House_Age,Distance_from_City_km,Parking_Spaces,Price_NPR
1460,1,2,14,7.6,2,7108000
1894,1,1,8,5.0,0,7041000
1730,2,2,16,12.0,2,6862000
1695,1,3,13,7.5,1,7403000
2238,3,2,14,11.2,1,9642000
2769,4,2,30,9.7,1,10595000
1066,1,3,0,12.1,1,5819000
1838,1,2,20,8.6,2,8033000
930,2,1,21,14.3,2,5030000
2082,2,1,21,4.4,1,8513000
2735,3,1,2,14.2,1,10764000
730,4,3,15,8.8,2,5135000
2285,2,2,22,17.6,1,8071000
1369,1,1,24,10.8,0,5146000
2991,4,3,10,19.5,1,11456000
2115,4,2,11,12.4,1,9426000
1815,1,3,9,5.3,0,8790000
1555,2,1,15,16.6,0,6322000
2924,1,1,7,7.6,2,11208000
1784,4,1,5,7.6,2,8748000
1059,5,3,11,1.6,0,7331000
621,5,3,23,11.4,0,4882000
2900,3,1,27,11.2,2,10364000
1347,1,3,20,7.8,1,6329000
1074,1,1,7,18.0,0,4516000
1682,3,1,25,3.4,2,7580000
2647,3,2,27,7.3,1,10355000
1575,3,3,3,7.1,0,7171000
2406,4,1,25,2.8,1,9592000
789,1,1,7,10.1,2,4484000
1162,4,3,25,14.1,0,5086000
2499,3,2,27,10.7,1,9780000
1867,1,2,17,4.0,0,7126000
2128,4,1,27,8.2,1,8185000
1246,4,3,27,1.0,2,7252000
2668,3,2,4,17.5,2,10683000
2814,1,3,8,2.6,0,11666000
1897,3,3,3,12.3,1,8337000
1200,1,1,26,19.7,0,4763000
2963,5,2,21,11.2,0,11520000
2661,2,1,30,18.6,1,9049000
841,2,2,16,5.5,1,4839000
2641,2,2,8,15.4,1,10614000
1963,3,2,0,11.1,2,8705000
2739,5,2,20,14.7,0,10778000
1990,1,2,19,2.2,0,7822000
2078,4,3,12,3.8,2,9388000
1375,1,1,27,3.5,1,5885000
634,4,3,15,14.1,2,4586000
2853,1,2,28,17.0,2,10114000
2555,5,1,12,15.2,2,10649000
2185,4,2,13,1.6,0,9610000
1621,3,1,2,17.5,2,8123000
1729,1,3,28,7.7,0,6821000
2100,1,1,5,8.5,0,7875000
1302,4,1,17,3.0,0,6211000
2179,3,1,18,15.0,1,8618000
761,3,1,4,4.5,0,5067000
801,5,1,14,11.7,0,4317000
2581,3,2,24,17.0,1,9985000
1595,3,1,1,2.7,0,7157000
2917,3,1,9,11.2,2,11980000
1415,2,3,23,5.4,2,6321000
1055,5,1,29,7.5,0,4967000
1875,1,3,17,10.0,1,8238000
1616,4,2,26,7.7,2,7418000
2943,1,1,12,13.3,1,11028000
937,5,3,4,10.1,1,6660000
1478,4,3,22,12.1,2,7645000
1676,5,2,23,15.0,1,7780000
1391,3,1,0,11.6,2,6922000
2864,4,1,21,12.1,1,11116000
1363,3,3,0,11.7,2,7052000
2835,1,1,17,8.2,0,10227000
979,1,3,14,7.4,2,5729000
1092,4,1,16,18.1,2,5376000
1780,4,3,10,12.5,2,8837000
2662,5,1,20,5.6,2,10974000
664,5,2,25,10.5,1,4700000
1967,3,1,30,7.3,0,7401000
1752,4,1,24,18.7,2,6888000
2627,1,2,21,1.1,1,10547000
2095,5,1,26,5.3,0,8127000
1762,5,2,26,7.9,0,7899000
2122,1,1,16,10.3,0,7541000
991,5,3,12,17.2,0,6168000
2298,3,3,0,2.7,2,10937000
1018,4,1,1,16.3,2,5905000
2936,1,1,8,2.1,1,11605000
978,4,1,2,17.0,1,4794000
2396,5,3,30,2.0,1,10119000
2878,5,1,0,1.3,0,12860000
2688,1,3,20,14.2,0,10245000
2782,3,2,15,19.9,2,10841000
800,2,3,22,18.0,0,3398000
2463,1,3,5,11.9,0,10217000
1379,2,2,27,18.4,0,5427000
1102,2,3,16,1.1,1,6148000
2351,3,1,4,19.5,1,9826000
1404,2,1,30,10.3,2,5349000
2746,2,3,4,14.7,0,10894000
2495,3,1,5,16.6,0,8909000
2170,2,3,2,14.7,2,10001000
1560,2,1,20,11.2,0,6242000
2085,2,1,22,10.1,0,7188000
1628,1,3,4,16.9,1,6699000
1102,1,1,20,4.9,2,4786000
997,1,3,4,19.4,2,5628000
1470,3,1,9,14.5,2,6679000
992,5,1,9,4.8,2,5958000
806,2,2,18,15.0,1,3747000
1638,2,2,16,11.1,1,6679000
2481,3,3,20,14.4,0,9092000
2084,2,2,13,15.6,0,7781000
1463,1,3,8,2.7,0,6762000
1163,5,2,13,10.6,0,6496000
1620,4,1,0,18.7,1,7471000
695,2,3,18,7.1,2,4330000
2523,1,3,12,12.3,1,10857000
2357,4,1,12,8.0,0,9470000
2878,5,3,3,9.6,1,13133000
2278,4,3,29,11.4,2,10042000
1140,1,2,0,11.4,2,5539000
1659,4,3,16,4.8,1,8255000
1783,3,1,7,14.0,1,7539000
2322,4,2,1,2.7,1,10621000
2419,2,2,27,3.6,0,9440000
2197,2,1,30,1.1,1,8187000
1395,3,1,7,3.2,1,6845000
1651,1,2,6,10.0,1,7284000
2243,2,3,25,12.5,2,8857000
1963,5,2,25,16.1,2,7951000
2581,2,1,1,3.0,0,10943000
1954,2,2,21,17.2,0,7715000
2263,1,1,21,15.2,2,8367000
2129,4,2,2,8.8,2,9911000
2638,2,3,26,18.7,2,9650000
2096,3,2,17,19.8,1,8036000
2837,4,2,11,4.9,1,12743000
2008,5,1,0,8.2,2,10054000
2000,1,1,21,18.6,1,6761000
1906,5,1,11,14.7,1,8457000
1572,4,2,4,1.9,0,8029000
2368,4,3,29,15.8,2,9747000
1882,4,1,29,16.7,2,7533000
1309,5,1,26,15.3,1,6163000
2079,4,2,24,16.2,2,8225000
2034,5,1,16,16.7,0,8340000
1248,4,3,15,4.5,0,6182000
917,3,3,30,5.5,0,4319000
1857,4,1,14,13.0,2,8432000
1283,5,1,22,18.2,2,5583000
1263,2,2,14,7.0,2,6027000
2598,4,3,4,12.2,2,11581000
2231,2,3,20,14.0,2,9342000
2095,3,1,13,9.6,0,8118000
1736,1,2,1,14.6,1,6392000
2453,3,3,10,18.1,0,9640000
2120,4,3,18,12.9,2,9811000
1163,2,2,6,11.3,0,5907000
1891,2,2,5,9.3,2,9085000
2236,5,3,27,12.0,2,9254000
1298,2,3,1,7.8,0,6345000
2760,5,2,5,8.4,2,12359000
601,1,3,17,11.1,1,3817000
1241,4,1,1,2.3,2,7378000
2867,5,1,17,5.4,1,11996000
2189,1,2,29,11.3,1,8112000
1454,2,2,14,9.2,2,6965000
2359,2,2,26,7.3,0,9164000
2261,1,1,18,14.9,1,8386000
1753,2,3,30,14.2,0,7050000
1676,1,1,1,4.2,1,7991000
2307,5,3,19,17.7,2,10488000
2295,5,1,24,10.4,2,9227000
2333,1,3,5,15.1,1,9784000
2039,5,1,0,11.9,2,9510000
2894,5,2,23,20.0,1,10764000
1435,5,1,14,15.3,2,6666000
802,3,3,27,14.4,0,4255000
722,4,1,29,15.8,2,3822000
1000,2,1,22,3.7,0,4765000
1366,3,1,9,4.9,2,6852000
893,5,2,18,14.6,0,4969000
2927,1,1,16,10.4,2,11123000
797,5,2,4,15.3,0,4734000
2530,4,2,28,3.0,1,10275000
2791,5,1,3,11.2,1,11798000
1208,1,1,9,8.2,0,5664000
1747,4,1,23,9.7,2,7058000
786,5,3,16,12.5,0,5643000
2394,4,1,9,10.5,2,10266000
1259,2,2,16,11.3,1,5917000
2555,2,1,27,10.2,2,9271000
1969,5,3,19,8.8,1,9324000
2586,4,1,23,15.7,2,9932000
2134,1,3,4,1.2,2,10322000
746,5,3,1,12.4,2,5528000
2334,2,1,5,11.7,0,9320000
2443,2,2,20,14.6,0,9231000
