Age,Study_Hours,Attendance,Result
24,3.0,53.8,Fail
21,1.9,60.6,Fail
30,5.7,60.5,Pass
28,8.6,75.3,Pass
25,1.6,40.0,Fail
30,11.1,100.0,Pass
22,5.9,63.4,Pass
24,3.6,65.4,Fail
27,2.0,57.2,Fail
20,3.0,68.2,Fail
24,11.3,90.8,Pass
28,8.0,71.0,Pass
28,6.7,60.7,Pass
25,8.2,57.2,Pass
22,5.8,70.7,Fail
21,9.0,89.0,Pass
25,1.5,55.1,Fail
25,7.2,63.0,Pass
20,2.7,64.7,Fail
23,2.3,49.1,Fail
22,4.8,57.9,Fail
19,2.0,47.6,Fail
25,2.0,54.0,Fail
29,4.4,51.6,Fail
23,11.8,94.3,Pass
19,2.9,60.6,Fail
29,1.2,58.9,Fail
22,9.4,85.9,Pass
18,9.9,75.9,Pass
29,4.8,66.4,Fail
27,6.1,62.1,Fail
23,8.1,70.1,Fail
30,1.5,40.4,Fail
29,11.4,77.6,Pass
26,10.8,85.8,Pass
18,3.9,70.4,Fail
28,1.2,68.1,Fail
28,11.3,87.9,Pass
27,6.5,81.0,Pass
29,6.9,70.8,Pass
29,8.5,67.5,Pass
20,7.8,83.4,Pass
29,11.4,94.8,Pass
24,11.4,100.0,Pass
21,10.5,76.8,Pass
26,8.0,100.0,Pass
20,9.8,98.9,Pass
22,8.4,80.1,Pass
20,7.3,73.3,Pass
24,2.4,49.4,Fail
22,9.9,87.5,Pass
26,10.0,85.5,Pass
24,7.9,82.3,Pass
19,10.0,84.6,Pass
21,8.2,90.8,Pass
26,3.3,59.9,Fail
29,4.0,59.7,Fail
19,3.4,67.5,Fail
27,5.1,53.4,Fail
26,1.4,53.6,Fail
27,7.8,78.0,Pass
22,4.7,53.5,Fail
19,8.2,65.8,Pass
21,5.2,74.9,Fail
29,8.5,88.4,Pass
29,4.7,66.1,Pass
24,3.9,75.1,Fail
29,6.5,75.8,Pass
30,8.6,91.1,Pass
25,4.8,68.5,Fail
20,11.3,90.3,Pass
18,1.4,42.4,Fail
21,5.6,63.7,Fail
19,11.6,91.7,Pass
25,7.0,85.3,Pass
21,5.7,75.1,Pass
19,7.3,78.3,Fail
23,7.3,82.6,Pass
23,9.0,87.0,Pass
27,2.4,57.2,Fail
21,3.8,49.0,Fail
23,7.4,85.2,Pass
30,10.5,85.4,Pass
19,7.2,83.9,Pass
27,3.6,69.6,Fail
29,8.5,75.3,Pass
19,9.1,90.8,Pass
27,3.6,57.2,Fail
21,5.2,64.0,Fail
25,6.9,76.0,Pass
24,6.5,74.6,Fail
29,5.3,67.6,Fail
26,4.3,52.4,Fail
25,2.1,52.8,Fail
22,1.6,69.9,Fail
30,11.5,71.0,Pass
19,10.3,95.2,Pass
22,4.9,74.0,Fail
25,11.5,82.4,Pass
27,8.4,76.5,Pass
26,6.3,63.5,Fail
29,6.4,86.7,Pass
29,1.9,61.8,Fail
29,2.0,62.6,Fail
30,7.6,77.9,Pass
26,7.1,85.3,Pass
30,3.3,58.8,Fail
30,11.4,100.0,Pass
18,9.6,84.1,Pass
26,2.2,48.8,Fail
24,11.2,100.0,Pass
26,11.7,94.0,Pass
25,12.0,88.2,Pass
18,1.6,44.4,Fail
29,9.1,76.0,Pass
25,7.0,81.2,Pass
25,8.8,81.2,Pass
28,11.7,100.0,Pass
20,8.6,90.6,Pass
18,10.2,89.9,Pass
25,10.5,100.0,Pass
20,10.2,83.9,Pass
20,5.7,54.1,Pass
18,3.4,51.4,Fail
28,5.4,68.9,Fail
22,10.8,88.6,Pass
27,2.6,62.5,Fail
24,6.6,71.7,Fail
27,3.6,66.1,Fail
26,7.4,88.1,Pass
29,10.5,88.1,Pass
24,10.7,94.4,Pass
26,3.6,46.1,Fail
25,11.0,90.2,Pass
29,7.5,66.6,Pass
19,4.9,66.7,Fail
18,8.8,83.8,Pass
24,6.3,73.3,Pass
24,5.2,63.0,Fail
25,8.8,100.0,Pass
22,3.7,50.4,Fail
20,4.6,53.7,Fail
29,5.8,82.6,Pass
25,3.8,55.3,Fail
23,5.5,60.5,Fail
28,7.3,94.1,Pass
20,9.2,91.5,Pass
18,9.4,79.7,Pass
20,10.1,89.2,Pass
22,9.2,99.2,Pass
20,8.5,86.2,Pass
18,3.6,70.4,Pass
22,5.4,74.1,Fail
27,6.3,78.9,Pass
24,1.9,53.3,Fail
24,6.8,73.7,Fail
28,5.8,71.5,Fail
26,9.8,92.0,Pass
27,11.8,92.3,Pass
27,7.1,75.8,Pass
29,4.5,61.4,Fail
30,1.5,52.2,Fail
20,11.2,82.0,Pass
24,11.1,100.0,Pass
18,3.8,55.1,Fail
21,8.6,78.2,Pass
30,1.8,46.0,Fail
21,2.8,61.7,Fail
22,3.4,57.7,Fail
24,4.2,54.9,Fail
24,12.0,100.0,Pass
30,8.7,87.9,Pass
28,5.2,66.3,Fail
30,9.1,77.9,Pass
21,11.1,100.0,Pass
30,11.5,96.0,Pass
24,1.6,41.5,Fail
28,5.3,78.6,Fail
20,2.2,47.4,Fail
23,4.7,86.7,Pass
29,2.9,57.8,Fail
19,8.1,87.1,Pass
27,5.3,50.6,Fail
30,3.5,49.4,Fail
26,3.9,72.1,Fail
22,5.0,68.5,Fail
23,3.9,77.7,Fail
29,6.0,74.1,Pass
29,1.4,52.0,Fail
29,4.1,75.9,Pass
29,5.5,76.2,Pass
21,7.6,75.3,Pass
28,4.0,53.0,Fail
27,2.5,40.0,Fail
24,1.8,49.1,Fail
29,11.3,83.0,Pass
26,5.6,89.3,Pass
24,7.4,70.9,Pass
18,11.1,86.2,Pass
18,1.9,40.8,Fail
26,10.6,87.4,Pass
28,7.1,69.5,Fail
26,2.8,70.7,Fail
21,5.5,69.4,Fail
30,9.6,85.2,Pass
26,6.3,70.4,Pass
20,11.8,100.0,Pass
24,5.1,62.8,Fail
23,9.2,89.0,Pass
